SSD,d,P,delta
-1,16,16,15
-1,4,20,18
-1,1,21,17
-1,1,22,15
-1,2,24,11
-1,8,32,8
-1,32,64,20
-1,43,107,23
-1,86,193,32
-1,171,364,55
-1,300,664,70
-1,600,1264,100
-1,1157,2421,137
-1,2228,4649,165
-1,4285,8934,127
-1,8570,17504,199
-1,16840,34344,43
-1,33080,67424,-584
-1,65003,132427,-2425
-1,127778,260205,-7215
-1,255556,515761,-14595
-1,506827,1022588,-29317
-1,1005084,2027672,-67331
-1,1993328,4021000,-151701
-1,3953576,7974576,-336525
-1,7842149,15816725,-737469
-1,15684298,31501023,-1472513
-1,31240818,62741841,-2937811
-1,62226080,124967921,-5861027
-1,123945333,248913254,-12214286
-1,246885582,495798836,-25404339
-1,491777836,987576672,-52734675
-1,979602096,1967178768,-109271225
-1,1959204192,3926382960,-218205925
-1,3910566235,7836949195,-435674381
