SSD,d,P,delta
1,2,2,1
1,9,11,9
1,1,12,8
1,8,20,13
1,4,24,11
0,4,28,4
1,27,55,11
1,44,99,15
1,79,178,17
1,154,332,23
1,308,640,46
1,585,1225,61
1,1126,2351,67
1,2252,4603,119
1,4425,9028,221
1,8696,17724,419
1,17084,34808,507
1,33583,68391,383
1,67166,135557,705
1,133206,268763,1343
1,264160,532923,2567
1,523895,1056818,4913
1,1039094,2095912,909
1,2061104,4157016,-15685
1,4122208,8279224,-31877
1,8210833,16490057,-64137
1,16354500,32844557,-128979
-1,32575794,65420351,-259301
-1,64887428,130307779,-521169
-1,129250961,259558740,-1568800
-1,257462828,517021568,-4181607
-1,514925656,1031947224,-8364123
-1,1027790208,2059737432,-16712561
-1,2051458208,4111195640,-33393245
-1,4094705583,8205901223,-66722353
-1,8173056666,16378957889,-133315727
-1,16313537538,32692495427,-266372153
