n,d_n,maxP,SSD_flag
1,8,8,1
2,2,10,1
3,1,11,1
4,1,12,1
5,4,16,1
6,16,32,1
7,22,54,1
8,43,97,1
9,86,183,1
10,151,334,1
11,302,636,1
12,582,1218,1
13,1121,2339,1
14,2156,4495,1
15,4312,8807,1
16,8473,17280,1
17,16644,33924,1
18,32706,66630,1
19,64291,130921,1
20,128582,259503,1
21,255008,514511,1
22,505704,1020215,1
23,1002935,2023150,1
24,1989226,4012376,1
25,3945746,7958122,1
26,7891492,15849614,1
27,15718693,31568307,1
28,31308804,62877111,1
29,62362600,125239711,1
30,124219496,249459207,1
31,247436057,496895264,1
32,492882888,989778152,1
