SSD,d,P,delta
-1,9,9,8
-1,5,14,12
-1,2,16,12
-1,4,20,13
-1,4,24,11
-1,8,32,8
-1,32,64,20
-1,44,108,24
-1,88,196,35
-1,172,368,59
-1,1,369,-225
-1,1,370,-794
-1,869,1239,-1045
-1,1131,2370,-2114
-1,2258,4628,-4179
-1,4564,9192,-8113
-1,9046,18238,-16063
-1,17994,36232,-31776
-1,35916,72148,-62704
-1,71779,143927,-123493
-1,143558,287485,-242871
-1,286246,573731,-478174
-1,571361,1145092,-949911
-1,1140464,2285556,-1887145
-1,2276364,4561920,-3749181
-1,4557292,9119212,-7434982
-1,9100974,18220186,-14753350
-1,18183954,36404140,-29275512
-1,36331992,72736132,-58092816
-1,72592205,145328337,-115799203
-1,145040852,290369189,-230833986
-1,289795458,580164647,-460146700
-1,579019555,1159184202,-917265791
-1,1158039110,2317223312,-1827365573
-1,2314937756,4632161068,-3640462508
-1,4627599148,9259760216,-7252513400
-1,9250641004,18510401220,-14448466360
