SSD,d,P,delta
-1,28,28,27
-1,7,35,33
-1,1,36,32
-1,1,37,30
-1,2,39,26
-1,3,42,18
-1,14,56,12
-1,56,112,28
-1,76,188,27
-1,151,339,30
-1,300,639,45
-1,600,1239,75
-1,1127,2366,82
-1,2254,4620,136
-1,4432,9052,245
-1,8713,17765,460
-1,17126,34891,590
-1,33652,68543,535
-1,67304,135847,995
-1,133481,269328,1908
-1,264708,534036,3680
-1,524984,1059020,7115
-1,1041255,2100275,5272
-1,2065384,4165659,-7042
-1,4130768,8296427,-14674
-1,8227884,16524311,-29883
-1,16388464,32912775,-60761
-1,32643447,65556222,-123430
-1,65022186,130578408,-250540
-1,129519388,260097796,-1029744
-1,257997521,518095317,-3107858
-1,515995042,1034090359,-6220988
-1,1029924700,2064015059,-12434934
-1,2055718632,4119733691,-24855194
-1,4103209380,8222943071,-49680505
-1,8190030296,16412973367,-99300249
