n,d_n,maxP,SSD_flag
1,3,3,1
2,2,5,1
3,1,6,1
4,1,7,0
5,7,14,1
6,11,25,1
7,20,45,1
8,39,84,1
9,78,162,1
10,148,310,1
11,285,595,1
12,570,1165,1
13,1120,2285,1
14,2201,4486,1
15,4324,8810,1
16,8500,17310,1
17,17000,34310,1
18,33715,68025,1
19,66860,134885,1
20,132600,267485,1
21,262999,530484,1
22,521674,1052158,1
23,1043348,2095506,1
24,2078196,4173702,1
25,4139392,8313094,1
26,8245069,16558163,1
27,16423278,32981441,1
28,32713956,65695397,1
29,65164913,130860310,1
30,130329826,261190136,1
31,260137978,521328114,1
32,519232608,1040560722,1
